sequence,stamp,topic,px,py,pz,qx,qy,qz,qw,image_filename
0,1757094341.081139326,/natnet_ros/lid/pose,-2.048270,0.879590,0.971753,0.003191,-0.004661,-0.572908,0.819600,
0,1757094341.081151724,/natnet_ros/banana/pose,-1.965834,1.328848,1.086891,-0.019471,0.002277,0.080752,0.996541,
0,1757094341.081161737,/natnet_ros/block/pose,-1.748896,0.881214,0.915360,0.006255,0.008273,-0.007303,-0.999920,
0,1757094341.081164837,/natnet_ros/umi_body/pose,-2.373133,0.812452,1.169403,0.812131,0.025024,0.543251,-0.211414,
0,1757094341.081166744,/natnet_ros/umi_finger/pose,-2.369342,0.750378,1.143484,0.810148,0.031271,0.542687,-0.219485,
0,1757094341.081168175,/natnet_ros/pan/pose,-2.030419,0.893451,0.929078,-0.003187,-0.002646,0.990160,0.139882,
0,1757094341.081169367,/natnet_ros/plate/pose,-1.762390,0.898539,0.909668,0.001588,0.007111,-0.715815,0.698252,
1,1757094341.201000214,/natnet_ros/lid/pose,-2.048304,0.879581,0.971747,0.003240,-0.004669,-0.572918,0.819593,image_000001_1757094341.151060.jpg
1,1757094341.201015711,/natnet_ros/banana/pose,-1.965867,1.328830,1.086892,-0.019817,0.002451,0.080789,0.996531,image_000001_1757094341.151060.jpg
1,1757094341.201017141,/natnet_ros/block/pose,-1.748928,0.881215,0.915337,0.006183,0.008260,-0.006480,-0.999926,image_000001_1757094341.151060.jpg
1,1757094341.201020002,/natnet_ros/umi_body/pose,-2.374070,0.808391,1.175842,0.818443,0.050153,0.544364,-0.176928,image_000001_1757094341.151060.jpg
1,1757094341.201020956,/natnet_ros/umi_finger/pose,-2.370264,0.744518,1.155256,0.817204,0.057449,0.542918,-0.184708,image_000001_1757094341.151060.jpg
1,1757094341.201021910,/natnet_ros/pan/pose,-2.030472,0.893422,0.929080,-0.003108,-0.002585,0.990162,0.139867,image_000001_1757094341.151060.jpg
1,1757094341.201022863,/natnet_ros/plate/pose,-1.762429,0.898502,0.909667,0.001974,0.007153,-0.715722,0.698346,image_000001_1757094341.151060.jpg
1,1757094341.201018810,/natnet_ros/plate_red/pose,-1.961048,1.348066,1.074883,0.000162,0.000612,0.000784,1.000000,image_000001_1757094341.151060.jpg
1,1757094341.201024055,/natnet_ros/dishrack/pose,-1.873846,0.464340,1.101617,0.287296,-0.336491,0.895178,0.053764,image_000001_1757094341.151060.jpg
2,1757094341.281290293,/natnet_ros/lid/pose,-2.048322,0.879590,0.971747,0.003230,-0.004680,-0.572906,0.819601,image_000002_1757094341.251282.jpg
2,1757094341.281303406,/natnet_ros/banana/pose,-1.965889,1.328856,1.086875,-0.020240,0.002655,0.080860,0.996516,image_000002_1757094341.251282.jpg
2,1757094341.281305075,/natnet_ros/block/pose,-1.748957,0.881223,0.915323,0.006106,0.008233,-0.006964,-0.999923,image_000002_1757094341.251282.jpg
2,1757094341.281308174,/natnet_ros/umi_body/pose,-2.372712,0.804421,1.180425,0.818246,0.052193,0.542149,-0.183915,image_000002_1757094341.251282.jpg
2,1757094341.281309366,/natnet_ros/umi_finger/pose,-2.368043,0.740766,1.159390,0.816121,0.059150,0.541845,-0.191967,image_000002_1757094341.251282.jpg
2,1757094341.281310320,/natnet_ros/pan/pose,-2.030484,0.893440,0.929062,-0.003082,-0.002632,0.990166,0.139840,image_000002_1757094341.251282.jpg
2,1757094341.281311512,/natnet_ros/plate/pose,-1.762432,0.898542,0.909669,0.001603,0.007134,-0.715793,0.698275,image_000002_1757094341.251282.jpg
2,1757094341.281306744,/natnet_ros/plate_red/pose,-1.961071,1.348073,1.074881,0.000164,0.000600,0.000802,1.000000,image_000002_1757094341.251282.jpg
2,1757094341.281421423,/natnet_ros/dishrack/pose,-1.873875,0.464355,1.101605,0.287402,-0.336990,0.894971,0.053513,image_000002_1757094341.251282.jpg
3,1757094341.380970240,/natnet_ros/lid/pose,-2.048314,0.879593,0.971741,0.003276,-0.004599,-0.572922,0.819590,image_000003_1757094341.351161.jpg
3,1757094341.380981922,/natnet_ros/banana/pose,-1.965896,1.328856,1.086888,-0.018697,0.002299,0.080884,0.996545,image_000003_1757094341.351161.jpg
3,1757094341.380983353,/natnet_ros/block/pose,-1.748951,0.881169,0.915203,0.006734,0.008679,-0.006450,-0.999919,image_000003_1757094341.351161.jpg
